InspectionUID,InspectionDate,InspectionScore,InspectionStatus,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5703013,1/26/15 0:00,1,PASS,KFC/TACO BELL Y343320,9922 BEECHNUT,77036,Restaurant - Single Service,CHICKEN,6,HIGH
5700589,1/7/15 0:00,1,PASS,BURGER KING,7806 BELLFORT,77061,Restaurant - Single Service,"BURGERS, ETC.",4,MEDIUM
5700690,1/7/15 0:00,1,PASS,BAMBU DESSERTS & DRINKS,3825 RICHMOND,77027,Restaurant - Single Service,,0,MEDIUM
5700900,1/8/15 0:00,1,PASS,NIKO-NIKO'S RESTAURANT,2520 MONTROSE BLVD,77006,Restaurant - Single Service,GREEK,7,HIGH
5701209,1/12/15 0:00,1,PASS,CITILINE DELI #12,1430 ENCLAVE PKWY STE 110,77077,Restaurant - Single Service,,5,HIGH
5703226,1/27/15 0:00,1,PASS,PINK'S PIZZA,710 W GRAY,77019,Restaurant - Single Service,PIZZA,6,HIGH
5701335,1/12/15 0:00,1,PASS,REFRESQUERIA TROPICAL,12603 MARKET STE C,77013,Restaurant - Single Service,,5,HIGH
5701869,1/15/15 0:00,1,PASS,NEW TIMMY CHAN #12,5426 ANTOINE,77091,Restaurant - Single Service,CHICKEN,0,MEDIUM
5701961,1/16/15 0:00,1,PASS,JACK IN THE BOX # 630,1419 GESSNER,77080,Restaurant - Single Service,"BURGERS, ETC.",3,MEDIUM
5702934,1/25/15 0:00,1,PASS,TACO BELL #20007,3155 SOUTH LOOP WEST,77054,Restaurant - Single Service,MEXICAN / HISPANIC,4,MEDIUM
5703243,1/27/15 0:00,2,PASS,PLANTATION FOOD STORE,8450 ALMEDA GENOA  RD,77075,Restaurant - Single Service,,0,MEDIUM
5703491,1/28/15 0:00,1,PASS,BEST WESTERN PLUS HOBBY AIRPORT INN & SUITES,8778 AIRPORT,77061,Restaurant - Single Service,,0,MEDIUM
5701898,1/15/15 0:00,1,PASS,MELKAM QEN,13831 NORTHWEST FWY STE 188,77040,Restaurant - Single Service,"BEVERAGES, ETC.",7,HIGH
5702577,1/21/15 0:00,1,PASS,SKYLINE DELI,1301 TRAVIS,77002,Restaurant - Single Service,DELI,0,MEDIUM
5700403,1/7/15 0:00,1,PASS,ALONTI DELI # 8,9 GREENWAY PLAZA STE C-20,77046,Restaurant - Single Service,DELI,7,MEDIUM
5700672,1/7/15 0:00,1,PASS,THAI BASIL,1200 MCKINNEY ST STE 345,77010,Restaurant - Single Service,THAI,7,HIGH
5701806,1/15/15 0:00,1,PASS,SUBWAY SANDWICH #47111,802 MILAM STE 103,77002,Restaurant - Single Service,SANDWICHES,4,MEDIUM
5702170,1/20/15 0:00,1,PASS,CHICK-FIL-A @ 45 & CROSSTIMBERS,4410 NORTH FWY,77022,Restaurant - Single Service,CHICKEN,3,MEDIUM
5700204,1/6/15 0:00,1,PASS,TAQUERIA EL CHARRO,6810 N SHEPHERD,77091,Restaurant - Single Service,MEXICAN / HISPANIC,6,MEDIUM
5700920,1/8/15 0:00,1,PASS,PAPAGAYOS,44 ALDINE BENDER,77060,Restaurant - Single Service,,4,MEDIUM
5702644,1/22/15 0:00,1,PASS,WINGSTOP,174 YALE STE 600,77007,Restaurant - Single Service,CHICKEN,5,MEDIUM
5699892,1/2/15 0:00,1,PASS,DOWNING STREET LTD,2549 KIRBY DR,77019,Restaurant - Single Service,SANDWICHES,3,MEDIUM
5700629,1/7/15 0:00,1,PASS,HARDY  SHELL  & CHURCH'S(Shell gasoline),743 N SAM HOUSTON PKWY E,77060,Restaurant - Single Service,OTHER,3,MEDIUM
5701347,1/12/15 0:00,1,PASS,BECK'S PRIME,1202 DAIRY ASHFORD,77079,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5701371,1/12/15 0:00,1,PASS,SUBWAY,15901 S POST OAK STE A,77053,Restaurant - Single Service,SANDWICHES,5,MEDIUM
5701415,1/13/15 0:00,1,PASS,CAFE CAELI,1155 S DAIRY ASHFORD STE 110,77079,Restaurant - Single Service,,0,MEDIUM
5701595,1/14/15 0:00,1,PASS,CULLEN SHELL,7401 CULLEN,77051,Restaurant - Single Service,CHICKEN,6,MEDIUM
5701596,1/14/15 0:00,1,PASS,ROYAL TAPIOCA SANDWICH,1317 GESSNER DR,77055,Restaurant - Single Service,"BEVERAGES, ETC.",0,MEDIUM
5701691,1/14/15 0:00,1,PASS,SPEED MART,3250 OLD SPANISH  TRL,77021,Restaurant - Single Service,"BURGERS, ETC.",7,HIGH
5701755,1/14/15 0:00,1,PASS,TACO BELL # 9535,4904 W BELLFORT,77035,Restaurant - Single Service,MEXICAN / HISPANIC,3,MEDIUM
5702058,1/16/15 0:00,1,PASS,ZIP 'N FOOD STORE,85 E EDGEBROOK,77034,Restaurant - Single Service,OTHER,0,MEDIUM
5702156,1/12/15 0:00,2,PASS,ROTISSERIE & GRILL,1225 N LOOP WEST STE 118,77008,Restaurant - Single Service,DELI,6,HIGH
5703287,1/27/15 0:00,1,PASS,THE SEAFOOD CENTER,8112 HOMESTEAD,77028,Restaurant - Single Service,,5,MEDIUM
5703290,1/28/15 0:00,2,PASS,JACK IN THE BOX #644,7545 PARK PLACE,77087,Restaurant - Single Service,"BURGERS, ETC.",8,HIGH
5703446,1/28/15 0:00,1,PASS,MAMA SEAFOOD,10196 JENSEN,77093,Restaurant - Single Service,SEAFOOD,0,MEDIUM
5703450,1/28/15 0:00,1,PASS,THE TEAHOUSE,5085 WESTHEIMER STE KI-14A,77056,Restaurant - Single Service,"BEVERAGES, ETC.",0,LOW
5721587,1/29/15 0:00,1,PASS,RIVER VIEW DELI,6363 WOODWAY STE 140,77057,Restaurant - Single Service,DELI,6,MEDIUM
5726568,1/27/15 0:00,1,PASS,SANDWICHES & STUFF,1610 W SAM HOUSTON PKWY N,77043,Restaurant - Single Service,SANDWICHES,5,HIGH
5700117,1/5/15 0:00,1,PASS,TACO CABANA #250,13455 EAST  FWY,77015,Restaurant - Single Service,MEXICAN / HISPANIC,8,HIGH
5700519,1/5/15 0:00,2,PASS,SIMON'S CAFE,500 DALLAS STE T-22,77002,Restaurant - Single Service,LOCAL / CONTINENTAL,9,HIGH
5700596,1/7/15 0:00,1,PASS,JACK IN THE BOX #651,2218 LITTLE YORK,77093,Restaurant - Single Service,"BURGERS, ETC.",0,MEDIUM
5700901,1/8/15 0:00,1,PASS,SEAFOOD CORNER (inside Greenspoint Mall),12300 NORTH FWY,77060,Restaurant - Single Service,SEAFOOD,5,HIGH
5702806,1/23/15 0:00,1,PASS,ORIGINAL TIMMY CHAN'S,4208 W FUQUA,77045,Restaurant - Single Service,CHINESE,7,MEDIUM
5702882,1/23/15 0:00,1,PASS,ADDIC TEA CAFE,8586 WESTHEIMER RD,77063,Restaurant - Single Service,CHINESE,5,HIGH
5701262,1/12/15 0:00,1,PASS,MY WING PLACE,12805 CULLEN STE A,77047,Restaurant - Single Service,MIDDLE EASTERN,6,HIGH
5701355,1/12/15 0:00,1,PASS,SUBWAY SANDWICH #13394,9209 CULLEN,77051,Restaurant - Single Service,SANDWICHES,5,MEDIUM
5701601,1/14/15 0:00,1,PASS,JASON'S DELI,11120 NORTHWEST FWY,77092,Restaurant - Single Service,DELI,8,HIGH
5702233,1/20/15 0:00,2,PASS,HUGO  CALIENTE,790 W SAM HOUSTON PKWY N STE 112,77024,Restaurant - Single Service,,6,HIGH
5702398,1/21/15 0:00,1,PASS,BUBBA'S SPORTS BAR & GRILL,6225 WASHINGTON AVE,77007,Restaurant - Single Service,LOCAL / CONTINENTAL,7,HIGH
5702469,1/21/15 0:00,2,PASS,JACK IN THE BOX #3695,12777 EAST FWY,77015,Restaurant - Single Service,"BURGERS, ETC.",7,HIGH
5702614,1/22/15 0:00,1,PASS,LAKE HOUSTON MARINA,10611 FM 1960 EAST,77336,Restaurant - Single Service,"BURGERS, ETC.",3,MEDIUM
5702628,1/22/15 0:00,2,PASS,MCDONALD'S #13777,7606 WESTHEIMER,77063,Restaurant - Single Service,"BURGERS, ETC.",8,HIGH
5702720,1/22/15 0:00,1,PASS,CHAMP BURGER,304 SAMPSON,77003,Restaurant - Single Service,"BURGERS, ETC.",0,MEDIUM
5702828,1/23/15 0:00,1,PASS,K & S SUPER MART,6902 N WAYSIDE,77028,Restaurant - Single Service,,2,MEDIUM
5699909,1/2/15 0:00,2,PASS,POPEYE'S LOUISIANA KITCHEN,10759 KINGSPOINT,77075,Restaurant - Single Service,CHICKEN,4,MEDIUM
5700952,1/8/15 0:00,1,PASS,NESTLE TOLL HOUSE CAFE BY CHIP,205 GREENSPOINT MALL,77067,Restaurant - Single Service,DESSERTS,7,HIGH
5700956,1/8/15 0:00,1,PASS,SONIC DRIVE IN # 3668,12419 KUYKENDAHL RD,77090,Restaurant - Single Service,,4,MEDIUM
