InspectionUID,InspectionDate,InspectionScore,InspectionStatus,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5754174,3/13/15 0:00,1,PASS,SUBWAY SANDWICHES,14515 KATY FWY STE 200,77079,Restaurant - Single Service,SANDWICHES,7,MEDIUM
5701703,1/14/15 0:00,1,PASS,FRENCHY'S,5836 MARTIN LUTHER KING BLVD,77033,Restaurant - Single Service,CHICKEN,7,HIGH
5728935,2/6/15 0:00,1,PASS,CHINA MAX,1000 WEST OAKS MALL STE 413,77082,Restaurant - Single Service,CHINESE,4,MEDIUM
5749759,2/13/15 0:00,1,PASS,JAMBA JUICE,803 W SAM HOUSTON PKWY N STE 136,77024,Restaurant - Single Service,"BEVERAGES, ETC.",4,MEDIUM
5749862,2/13/15 0:00,1,PASS,NESTLE TOLL HOUSE CAFE,5  GREENWAY STE C-670,77046,Restaurant - Single Service,DESSERTS,3,MEDIUM
5753577,3/10/15 0:00,1,PASS,HOUSTON / WILLOWBROOK  RESIDENCE INN,7311 W GREENS  RD,77064-1137,Restaurant - Single Service,LOCAL / CONTINENTAL,6,MEDIUM
5757666,3/27/15 0:00,1,PASS,SARAH'S DELI,738 HIGHWAY  6 S STE 201,77079,Restaurant - Single Service,DELI,6,HIGH
5700333,1/6/15 0:00,1,PASS,BULLRITOS,1695 S VOSS,77057,Restaurant - Single Service,SANDWICHES,5,HIGH
5702468,1/21/15 0:00,1,PASS,POPEYE'S #31,12436 BISSONNET,77099,Restaurant - Single Service,CHICKEN,8,MEDIUM
5728931,2/6/15 0:00,2,PASS,CHINA MAX,1000 WEST OAKS MALL STE 413,77082,Restaurant - Single Service,CHINESE,4,MEDIUM
5700151,1/5/15 0:00,1,PASS,SUBWAY # 29836,5015 WESTHEIMER RD STE 1295,77056,Restaurant - Single Service,DELI,8,HIGH
5701131,1/9/15 0:00,1,PASS,JIMMY JOHN'S,12303 WESTHEIMER RD STE K,77077,Restaurant - Single Service,SANDWICHES,0,MEDIUM
5701330,1/12/15 0:00,3,PASS,CHEVRON/OSCAR SERVICE STATION,4305 TELEPHONE RD STE B,77087,Restaurant - Single Service,MEXICAN / HISPANIC,7,MEDIUM
5701986,1/15/15 0:00,1,PASS,WHICH WICH STORE 102,9758 KATY FWY STE 200,77055,Restaurant - Single Service,SANDWICHES,5,MEDIUM
5722328,2/3/15 0:00,3,FAIL,TACO GIGANTE EXPRESS,5740 S WAYSIDE DR,77087,Restaurant - Single Service,,7,HIGH
5749917,2/15/15 0:00,1,PASS,MCDONALD'S # 3336,5911 S BRAESWOOD,77096,Restaurant - Single Service,"BURGERS, ETC.",4,MEDIUM
5753573,3/10/15 0:00,1,PASS,HOUSTON / WILLOWBROOK  RESIDENCE INN,7311 W GREENS  RD,77064-1137,Restaurant - Single Service,LOCAL / CONTINENTAL,6,MEDIUM
5757510,3/26/15 0:00,1,PASS,MENCHIES  GULFGATE,2903 WOODRIDGE STE 140,77087,Restaurant - Single Service,DESSERTS,6,HIGH
5750385,2/17/15 0:00,3,FAIL,BOBA CAFE,1113 HOLMAN,77004,Restaurant - Single Service,"BURGERS, ETC.",7,HIGH
5750476,2/18/15 0:00,1,PASS,SONIC DRIVE-IN # 1127,1100 BLALOCK RD,77055,Restaurant - Single Service,,0,MEDIUM
5752107,3/2/15 0:00,1,PASS,SUZHI TEAHOUSE,11209 BELLAIRE BLVD STE C11,77072,Restaurant - Single Service,"BEVERAGES, ETC.",3,MEDIUM
5752275,3/3/15 0:00,1,PASS,S&B SHACK,3610 REED,77051,Restaurant - Single Service,CAJUN,7,MEDIUM
5701705,1/14/15 0:00,1,PASS,FRENCHY'S,5836 MARTIN LUTHER KING BLVD,77033,Restaurant - Single Service,CHICKEN,7,HIGH
5749865,2/13/15 0:00,1,PASS,NESTLE TOLL HOUSE CAFE,5  GREENWAY STE C-670,77046,Restaurant - Single Service,DESSERTS,3,MEDIUM
5752360,3/3/15 0:00,1,PASS,POPEYE'S LOUISIANA KITCHEN,16425 IMPERIAL VALLEY DR,77060-3505,Restaurant - Single Service,CHICKEN,7,HIGH
5753897,3/11/15 0:00,1,PASS,MCDONALD'S #5333,6950 WOODRIDGE,77087,Restaurant - Single Service,"BURGERS, ETC.",7,MEDIUM
5756448,3/17/15 0:00,2,PASS,KENTUCKY FRIED CHICKEN  - Y343291,7904 LONG POINT,77055,Restaurant - Single Service,CHICKEN,5,MEDIUM
5757698,3/27/15 0:00,1,PASS,SARAH'S DELI,738 HIGHWAY  6 S STE 201,77079,Restaurant - Single Service,DELI,6,HIGH
5751620,2/26/15 0:00,1,PASS,PAPA MURPHY'S PIZZA,4562 KINGWOOD DR,77345,Restaurant - Single Service,PIZZA,3,MEDIUM
5701284,1/12/15 0:00,1,PASS,MENCHIE'S FROZEN YOGURT #7,5310 WESLAYAN,77005,Restaurant - Single Service,DESSERTS,3,MEDIUM
5701515,1/13/15 0:00,2,PASS,SMOOTHIE KING,6020 WESTHEIMER,77057,Restaurant - Single Service,"BEVERAGES, ETC.",3,MEDIUM
5702933,1/25/15 0:00,1,PASS,TACO BELL #20007,3155 SOUTH LOOP WEST,77054,Restaurant - Single Service,MEXICAN / HISPANIC,4,MEDIUM
5701485,1/13/15 0:00,2,PASS,SPICY PICKLE,1333 OLD SPANISH TRL STE 100-A,77054,Restaurant - Single Service,DELI,4,MEDIUM
5701778,1/15/15 0:00,2,PASS,SUB ROC,3355 W ALABAMA STE 120,77027,Restaurant - Single Service,DELI,4,MEDIUM
5721811,1/30/15 0:00,2,PASS,MURPHY'S DELI AT ST LUKE'S,6624 FANNIN,77030,Restaurant - Single Service,DELI,7,HIGH
5729422,2/10/15 0:00,1,PASS,SMASHBURGER 1199,174 YALE ST STE 100,77007,Restaurant - Single Service,"BURGERS, ETC.",0,MEDIUM
5751887,2/27/15 0:00,1,PASS,PIZZA L'VINO,544 WAUGH DR STE 544,77019,Restaurant - Single Service,PIZZA,3,MEDIUM
5701827,1/15/15 0:00,1,PASS,BARNES & NOBLE CAFE' @ SAN JACINTO BOOKSTORE,13735 BEAMER RD STE 4103,77089,Restaurant - Single Service,SANDWICHES,5,MEDIUM
5749857,2/13/15 0:00,1,PASS,MI BANDEJA PAISA,6909 HILLCROFT STE 2B4B,77081,Restaurant - Single Service,,0,MEDIUM
5721639,1/29/15 0:00,1,PASS,DOMINO'S PIZZA #6644,4319 KINGWOOD  DR,77339,Restaurant - Single Service,PIZZA,5,HIGH
5721853,1/30/15 0:00,1,PASS,TIMMY CHAN'S,7625 W BELLFORT,77071,Restaurant - Single Service,,8,HIGH
5750036,2/16/15 0:00,1,PASS,CHURCH'S CHICKEN #3903,6200 BELLAIRE BLVD STE C,77081,Restaurant - Single Service,,6,HIGH
5751885,2/27/15 0:00,1,PASS,WINGS -N- THINGS,2711 FOUNTAINVIEW,77057,Restaurant - Single Service,CHICKEN,8,HIGH
5701481,1/13/15 0:00,1,PASS,SPICY PICKLE,1333 OLD SPANISH TRL STE 100-A,77054,Restaurant - Single Service,DELI,4,MEDIUM
5702968,1/26/15 0:00,1,PASS,TACOS AND TORTAS LAS LLARDAS,10950 BISSONNET STE A 290,77099,Restaurant - Single Service,MEXICAN / HISPANIC,0,MEDIUM
5703361,1/28/15 0:00,2,PASS,FRENCHY'S,5836 MARTIN LUTHER KING BLVD,77033,Restaurant - Single Service,CHICKEN,7,HIGH
5753462,3/5/15 0:00,1,PASS,BBVA COMPASS CAFETERIA,2200  POST OAK BLVD STE 1601,77056,Restaurant - Single Service,LOCAL / CONTINENTAL,9,HIGH
5702967,1/26/15 0:00,1,PASS,TACOS AND TORTAS LAS LLARDAS,10950 BISSONNET STE A 290,77099,Restaurant - Single Service,MEXICAN / HISPANIC,0,MEDIUM
5703357,1/28/15 0:00,1,PASS,FRENCHY'S,5836 MARTIN LUTHER KING BLVD,77033,Restaurant - Single Service,CHICKEN,7,HIGH
5722258,2/3/15 0:00,1,PASS,ROOKIES COOKIES,3530 SCOTT STE B,77004,Restaurant - Single Service,,2,LOW
5750786,2/20/15 0:00,1,PASS,CLASSIC BURGERS,4515 MOWERY,77047,Restaurant - Single Service,"BURGERS, ETC.",7,HIGH
5700608,1/7/15 0:00,2,PASS,TONY'S SEAFOOD & MORE,8615 TIDWELL STE G,77028,Restaurant - Single Service,CHINESE,2,LOW
5701283,1/12/15 0:00,1,PASS,MENCHIE'S FROZEN YOGURT #7,5310 WESLAYAN,77005,Restaurant - Single Service,DESSERTS,3,MEDIUM
5750785,2/20/15 0:00,2,PASS,CLASSIC BURGERS,4515 MOWERY,77047,Restaurant - Single Service,"BURGERS, ETC.",7,HIGH
5701567,1/13/15 0:00,1,PASS,YIIN'S ORIENTAL WOK,5842 MARTIN LUTHER KING,77021,Restaurant - Single Service,CHINESE,7,MEDIUM
5701512,1/13/15 0:00,1,PASS,SMOOTHIE KING,6020 WESTHEIMER,77057,Restaurant - Single Service,"BEVERAGES, ETC.",3,MEDIUM
5703201,1/27/15 0:00,1,PASS,SUBWAY # 38181,15015 WESTHEIMER RD STE C,77082,Restaurant - Single Service,SANDWICHES,5,HIGH
5721635,1/29/15 0:00,1,PASS,DOMINO'S PIZZA #6644,4319 KINGWOOD  DR,77339,Restaurant - Single Service,PIZZA,5,HIGH
5721851,1/30/15 0:00,2,PASS,TIMMY CHAN'S,7625 W BELLFORT,77071,Restaurant - Single Service,,8,HIGH
5722369,2/3/15 0:00,1,PASS,ROMAN DELIGHT PIZZA & PASTA,500 BAYBROOK MALL # 6,77546,Restaurant - Single Service,PIZZA,0,MEDIUM
5729432,2/11/15 0:00,2,PASS,CHOICE'S CAFETERIA,720 N POST OAK RD STE 128,77024,Restaurant - Single Service,CAFETERIA,0,MEDIUM
5702727,1/22/15 0:00,1,PASS,OUT TO LUNCH CAFE & DELI,1980 POST OAK STE B001,77056,Restaurant - Single Service,,6,MEDIUM
5721696,1/29/15 0:00,4,FAIL,POPEYE'S  #58,505 W LITTLE YORK,77091,Restaurant - Single Service,CHICKEN,4,MEDIUM
5700637,1/7/15 0:00,1,PASS,SOPHI CAFE,505 N SAM HOUSTON PKWY E,77060-4018,Restaurant - Single Service,LOCAL / CONTINENTAL,7,HIGH
5701067,1/9/15 0:00,1,PASS,MT PILGRIM BAPTIST CHURCH,908 1/2 E 32ND,77022,Restaurant - Single Service,,0,MEDIUM
5701895,1/15/15 0:00,1,PASS,MELKAM QEN,13831 NORTHWEST FWY STE 188,77040,Restaurant - Single Service,"BEVERAGES, ETC.",7,HIGH
5750007,2/16/15 0:00,1,PASS,CHURCH'S CHICKEN #3903,6200 BELLAIRE BLVD STE C,77081,Restaurant - Single Service,,6,HIGH
5750136,2/17/15 0:00,5,FAIL,BURGERS FRIES N THINGS,8525 SCOTT,77051,Restaurant - Single Service,"BURGERS, ETC.",4,MEDIUM
5750429,2/18/15 0:00,1,PASS,POPEYE'S  #58,505 W LITTLE YORK,77091,Restaurant - Single Service,CHICKEN,4,MEDIUM
5750473,2/17/15 0:00,1,PASS,SCARBOROUGH HS PTSA SNACK BAR,4141 COSTA RICA,77092,Restaurant - Single Service,,0,LOW
5751876,2/27/15 0:00,1,PASS,WINGS -N- THINGS,2711 FOUNTAINVIEW,77057,Restaurant - Single Service,CHICKEN,8,HIGH
5750648,2/19/15 0:00,1,PASS,SOLO CAKES & COOKIES CAFE,6121 HILLCROFT AVE STE C1,77081,Restaurant - Single Service,DESSERTS,1,LOW
5752641,3/4/15 0:00,1,PASS,O.S.T. FOOD STORE,3821 OLD SPANISH TRAIL,77021,Restaurant - Single Service,"BEVERAGES, ETC.",7,MEDIUM
5702063,1/16/15 0:00,3,FAIL,DAIRY QUEEN,703 LITTLE YORK,77076,Restaurant - Single Service,,7,HIGH
5702306,1/20/15 0:00,1,PASS,AMILLES COFFEE,777 WALKER STE T245,77002,Restaurant - Single Service,"BEVERAGES, ETC.",1,LOW
5753706,3/11/15 0:00,1,PASS,KIM TEAHOUSE AND TAPIOKA,10944 WESTHEIMER RD,77042,Restaurant - Single Service,"BEVERAGES, ETC.",0,LOW
5755863,3/17/15 0:00,3,FAIL,BURGER KING #101,11001 FUQUA ST STE A,77089,Restaurant - Single Service,"BURGERS, ETC.",5,HIGH
5755953,3/14/15 0:00,3,PASS,A & Q CHEVRON,431 W LITTLE YORK,77076,Restaurant - Single Service,,2,LOW
5757729,3/27/15 0:00,2,PASS,SCHLOTZSKY'S #3413,815 WALKER STE T-26,77002,Restaurant - Single Service,SANDWICHES,4,MEDIUM
5757961,3/30/15 0:00,1,PASS,WHICH WICH STORE 102,9758 KATY FWY STE 200,77055,Restaurant - Single Service,SANDWICHES,5,MEDIUM
5701991,1/15/15 0:00,5,FAIL,WHICH WICH STORE 102,9758 KATY FWY STE 200,77055,Restaurant - Single Service,SANDWICHES,5,MEDIUM
5756930,3/17/15 0:00,1,PASS,SUBS & MORE,10333 HARWIN STE 147,77036,Restaurant - Single Service,,4,MEDIUM
5721688,1/29/15 0:00,1,PASS,POPEYE'S  #58,505 W LITTLE YORK,77091,Restaurant - Single Service,CHICKEN,4,MEDIUM
5749920,2/15/15 0:00,2,PASS,MCDONALD'S # 3336,5911 S BRAESWOOD,77096,Restaurant - Single Service,"BURGERS, ETC.",4,MEDIUM
