InspectionUID,FacilityHashID,InspectionDate,InpsectionHashID,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5699859,1141,1/3/19 0:00,B8A497CE-5056-A20B-FA9C452069AA543D,BECK'S PRIME,2902 KIRBY,77098,Restaurant - Full Service,"BURGERS, ETC.",7,HIGH
5700471,041E46A3-BC0C-4B44-58E5E84C53E0DBFF,1/7/19 0:00,B5419E07-5056-A20B-FA67A3922A72DFF4,LO MEJOR DE JALISCO MEXICAN FOOD,11208 HEMPSTEAD RD,77092,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5703137,047D3181-F390-CDB8-265CA25609E4F7F1,1/28/19 0:00,BC132B2C-5056-A20B-FA1857FD8E9A64DD,HESS,1501 MCKINNEY STE LV3,77002,Restaurant - Full Service,LOCAL / CONTINENTAL,8,HIGH
5700475,041E46A3-BC0C-4B44-58E5E84C53E0DBFF,1/7/19 0:00,B5A08F8C-5056-A20B-FAB9FD456F7664EC,LO MEJOR DE JALISCO MEXICAN FOOD,11208 HEMPSTEAD RD,77092,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5703140,047D3181-F390-CDB8-265CA25609E4F7F1,1/28/19 0:00,BC86400C-5056-A20B-FA7F6B47D62EB9B1,HESS,1501 MCKINNEY STE LV3,77002,Restaurant - Full Service,LOCAL / CONTINENTAL,8,HIGH
5752317,04A0CEFD-9E51-C339-48B1F80617F02D52,3/4/19 0:00,CF52904D-5056-A20B-FA4FF592D458F9F0,TEAVANA  #016,5085 WESTHEIMER RD STE B-3561,77056,Restaurant - Single Service,"BEVERAGES, ETC.",0,LOW
5753423,04D1EE06-C6B7-E96C-0912A5F4BA6B9F96,3/10/19 0:00,0B13CE2C-5056-A20B-FAC1379CDA5C8904,NICEY'S,8601 MARTIN LUTHER KING BLVD STE B,77033,Restaurant - Full Service,LOCAL / CONTINENTAL,6,HIGH
5702890,154,1/24/19 0:00,F8E559D5-5056-A20B-FAF6B017FFCAFC4C,ALMEDA SKATE CENTER,10750 ALMEDA GENOA,77034,Restaurant - Single Service,,0,MEDIUM
5729325,1955363,2/11/19 0:00,95AD89AE-5056-A20B-FAC5DA456765E0E5,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5700966,1320,1/9/19 0:00,F6A7454C-5056-A20B-FA51021070A04BC3,JUST-A-DOLLAR & BUDGET FOOD,901 MAIN,77002,Restaurant - Single Service,,6,MEDIUM
5702074,1316,1/17/19 0:00,8F3C6A41-5056-A20B-FA5A0E1DAA70AC9A,KNIGHTS OF COLUMBUS #4577,6320 MADDEN,77048,Restaurant - Single Service,"BURGERS, ETC.",0,MEDIUM
5699873,19339,1/3/19 0:00,BD335A59-5056-A20B-FA5DAA41250EB2B9,JAVA COFFEE & TEA CO.,2727 FONDREN STE 7A,77063,Restaurant - Single Service,OTHER,3,MEDIUM
5701194,13159,1/10/19 0:00,AF029A91-5056-A20B-FA820520A179082D,WHATABURGER #141,8941 LONG POINT,77055,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5729450,1955363,2/12/19 0:00,C8384605-5056-A20B-FA227A42B6505655,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5699977,1527D848-B550-0CF6-3254BDCF831C164D,1/6/19 0:00,4A8000B1-5056-A20B-FAACAC9896ABD89E,SUNRISE TAQUITOS MEXICAN GRILL MEMORIAL,5601 MEMORIAL DR,77007,Restaurant - Single Service,MEXICAN / HISPANIC,6,HIGH
5702214,1937,1/21/19 0:00,56B80FA0-5056-A20B-FAF93E041BB0FC5F,LUPE TORTILLAS,318 STAFFORD,77079,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
