InspectionUID,InspectionDate,InspectionScore,InspectionStatus,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5701211,1/12/15 0:00,1,PASS,CRACKER BARREL # 679,24400 EASTEX FWY,77339,Restaurant - Full Service,LOCAL / CONTINENTAL,6,HIGH
5701260,1/12/15 0:00,1,PASS,GRIF'S SHENANIGANS CAFE & BAR,3416 ROSELAND,77006,Restaurant - Full Service,BAR & GRILL,5,HIGH
5702236,1/20/15 0:00,1,PASS,TOWER 2 CAFETERIA,7324 SOUTHWEST FWY STE 130,77074,Restaurant - Full Service,DELI,7,MEDIUM
5702406,1/20/15 0:00,1,PASS,DENNY'S,3332 SOUTH LOOP WEST,77025,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5702931,1/25/15 0:00,1,PASS,CHACHO'S #6,2700 SOUTH LOOP WEST,77054,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5703156,1/27/15 0:00,2,PASS,EMPEROR CAFE,12280 WESTHEIMER STE 8,77077,Restaurant - Full Service,CHINESE,7,HIGH
5700185,1/6/15 0:00,1,PASS,THE SALVATION ARMY KITCHEN,2600 ALDINE WESTFIELD,77093,Restaurant - Full Service,,9,HIGH
5701309,1/12/15 0:00,1,PASS,TAQUERIA DE JALISCO RESTAURANT NO 1,15818 S POST OAK,77053,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5701828,1/15/15 0:00,1,PASS,REGINELLI'S,12389 KINGSRIDE LN,77024,Restaurant - Full Service,ITALIAN,6,HIGH
5701903,1/15/15 0:00,1,PASS,THE OLIVE GARDEN #1074,1010 OLD SPANISH TRAIL,77054,Restaurant - Full Service,ITALIAN,7,HIGH
5702003,1/16/15 0:00,1,PASS,GOLDEN STAR,7840 W TIDWELL RD,77040,Restaurant - Full Service,CHINESE,9,HIGH
5700946,1/7/15 0:00,2,PASS,TAQUERIA LATIGO,615 E WITCHER LN,77076-4814,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5700947,1/7/15 0:00,1,PASS,ALOHA GRILL,11805 WESTHEIMER,77077,Restaurant - Full Service,CHINESE,6,HIGH
5701041,1/9/15 0:00,1,PASS,BENJY'S ON WASHINGTON,5922 WASHINGTON AVE,77007,Restaurant - Full Service,BAR & GRILL,10,HIGH
5701357,1/11/15 0:00,2,PASS,NINFA'S,5015 WESTHEIMER STE 1280,77056,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5702411,1/21/15 0:00,1,PASS,POBLANO'S  MEXICAN  GRILL #2,1000 MAIN ST STE T-33,77002,Restaurant - Full Service,MEXICAN / HISPANIC,8,HIGH
5702660,1/21/15 0:00,3,FAIL,CHINA STAR CHINESE BUFFET,4414 NORTH FWY,77022,Restaurant - Full Service,CHINESE,8,HIGH
5703512,1/28/15 0:00,1,PASS,JO JO'S ASIAN BISTRO,23940 EASTEX FWY,77339,Restaurant - Full Service,JAPANESE,7,HIGH
5721581,1/29/15 0:00,2,PASS,HOUSE OF CHICKEN,10950 BISSONNET STE 160 B,77099,Restaurant - Full Service,,5,HIGH
5703163,1/27/15 0:00,1,,HOUSTON COUNTRY CLUB KITCHEN,1 POTOMAC,77057,Restaurant - Full Service,,0,HIGH
5699942,1/3/15 0:00,1,PASS,O' YEAH CAFE,5004 KIRBY DR,77098-5010,Restaurant - Full Service,CHICKEN,8,HIGH
5701043,1/9/15 0:00,1,PASS,BENJY'S ON WASHINGTON,5922 WASHINGTON AVE,77007,Restaurant - Full Service,BAR & GRILL,10,HIGH
5703107,1/27/15 0:00,1,PASS,RUCHI'S EL RINCON DE MEXICO GRILL #9,6410 WESTHEIMER RD,77057,Restaurant - Full Service,MEXICAN / HISPANIC,8,HIGH
5703467,1/26/15 0:00,2,PASS,TAQUERIA LOS CHARROS #2,404 SHEPHERD DR,77007-7336,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5703514,1/28/15 0:00,1,PASS,JO JO'S ASIAN BISTRO,23940 EASTEX FWY,77339,Restaurant - Full Service,JAPANESE,7,HIGH
5721583,1/29/15 0:00,1,PASS,HOUSE OF CHICKEN,10950 BISSONNET STE 160 B,77099,Restaurant - Full Service,,5,HIGH
5721715,1/29/15 0:00,5,FAIL,POBLANO'S  MEXICAN  GRILL #2,1000 MAIN ST STE T-33,77002,Restaurant - Full Service,MEXICAN / HISPANIC,8,HIGH
5701206,1/12/15 0:00,1,PASS,SARA'S TAQUERIA,1302 LORRAINE ST,77009-8736,Restaurant - Full Service,MEXICAN / HISPANIC,8,HIGH
5701687,1/14/15 0:00,1,PASS,LUBY'S #20 - 0106,1727 OLD SPANISH TRAIL,77054,Restaurant - Full Service,LOCAL / CONTINENTAL,8,HIGH
5702044,1/15/15 0:00,1,PASS,PAPPAS BAR-B-Q,4430 NORTH  FWY,77022,Restaurant - Full Service,BARBECUE,8,HIGH
5699975,1/5/15 0:00,2,PASS,DINNER BELL CAFETERIA,6525 LAWNDALE,77023,Restaurant - Full Service,CAFETERIA,8,HIGH
5701610,1/13/15 0:00,1,PASS,PAPPAS  BAR-B-Q,1100 SMITH,77002,Restaurant - Full Service,BARBECUE,0,HIGH
5702235,1/20/15 0:00,1,PASS,TOWER 2 CAFETERIA,7324 SOUTHWEST FWY STE 130,77074,Restaurant - Full Service,DELI,7,MEDIUM
5702805,1/23/15 0:00,1,PASS,NIT NOI CAFE,4703 RICHMOND AVE STE A,77027-6616,Restaurant - Full Service,THAI,7,HIGH
5702922,1/23/15 0:00,3,FAIL,EURASIA FUSION SUSHI,1330 WIRT RD,77055,Restaurant - Full Service,,5,HIGH
5699943,1/3/15 0:00,3,FAIL,O' YEAH CAFE,5004 KIRBY DR,77098-5010,Restaurant - Full Service,CHICKEN,8,HIGH
5726564,1/27/15 0:00,1,PASS,LA MADELEINE BAKERY,10001 WESTHEIMER,77042,Restaurant - Full Service,LOCAL / CONTINENTAL,10,HIGH
5702654,1/22/15 0:00,1,PASS,NIT NOI CAFE,4703 RICHMOND AVE STE A,77027-6616,Restaurant - Full Service,THAI,7,HIGH
5702853,1/23/15 0:00,1,PASS,JEFF'S KITCHEN & MEAT MKT.,8312 MESA DR,77028,Restaurant - Full Service,BARBECUE,7,HIGH
5702894,1/23/15 0:00,1,PASS,CLEAR LAKE HUNAN,2323 CLEAR LAKE CITY BLVD STE 158,77062,Restaurant - Full Service,CHINESE,7,HIGH
5724595,1/29/15 0:00,3,FAIL,GREAT KHAN MONGOLIAN GRILL,2150 S HIGHWAY 6 STE 200,77077,Restaurant - Full Service,,0,HIGH
5699899,1/2/15 0:00,2,PASS,KATZ DELI,616 WESTHEIMER,77006,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5700567,1/7/15 0:00,3,FAIL,JILLIAN HONDURAS RESTAURANT,7554 BELLFORT,77061,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5703109,1/27/15 0:00,3,FAIL,RUCHI'S EL RINCON DE MEXICO GRILL #9,6410 WESTHEIMER RD,77057,Restaurant - Full Service,MEXICAN / HISPANIC,8,HIGH
5701769,1/15/15 0:00,3,FAIL,ANDY'S HOME CAFE,1115 E 11TH,77009,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5700766,1/8/15 0:00,1,PASS,ZOE'S KITCHEN,3838 WESTHEIMER RD STE C,77027,Restaurant - Full Service,GREEK,4,MEDIUM
5700843,1/8/15 0:00,1,PASS,PHO 21,2443 BAY AREA  BLVD,77058,Restaurant - Full Service,VIETNAMESE,3,HIGH
5703218,1/27/15 0:00,1,PASS,MYUNG DONG,6415 BISSONNET,77074,Restaurant - Full Service,,5,HIGH
5701212,1/12/15 0:00,1,PASS,CRACKER BARREL # 679,24400 EASTEX FWY,77339,Restaurant - Full Service,LOCAL / CONTINENTAL,6,HIGH
5701269,1/12/15 0:00,1,PASS,GRIF'S SHENANIGANS CAFE & BAR,3416 ROSELAND,77006,Restaurant - Full Service,BAR & GRILL,5,HIGH
5701412,1/10/15 0:00,1,,THE JUNIOR LEAGUE OF HOU.,1811 BRIAR OAKS  LN,77027,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5701480,1/13/15 0:00,1,PASS,MONDONGO RESTAURANT,6121 HILLCROFT STE A,77081,Restaurant - Full Service,,7,HIGH
5702407,1/20/15 0:00,1,PASS,DENNY'S,3332 SOUTH LOOP WEST,77025,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5702932,1/25/15 0:00,3,FAIL,CHACHO'S #6,2700 SOUTH LOOP WEST,77054,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5703157,1/27/15 0:00,1,PASS,EMPEROR CAFE,12280 WESTHEIMER STE 8,77077,Restaurant - Full Service,CHINESE,7,HIGH
5703415,1/27/15 0:00,3,,HOUSTON COUNTRY CLUB KITCHEN,1 POTOMAC,77057,Restaurant - Full Service,,0,HIGH
5721631,1/29/15 0:00,1,PASS,WINSTON'S ON WASHINGTON,5111 WASHINGTON AVE,77007-5250,Restaurant - Full Service,"BURGERS, ETC.",8,HIGH
5699840,1/2/15 0:00,1,PASS,QUAN YIN VEGETARIAN,10804 BELLAIRE BLVD STE E,77072,Restaurant - Full Service,VEGETARIAN,4,MEDIUM
5699898,1/2/15 0:00,1,PASS,KATZ DELI,616 WESTHEIMER,77006,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5721889,1/30/15 0:00,1,PASS,MO MO'S CHICKEN & WAFFLE,3419 LIBERTY RD,77026,Restaurant - Full Service,BREAKFAST,8,HIGH
5700561,1/7/15 0:00,1,PASS,JILLIAN HONDURAS RESTAURANT,7554 BELLFORT,77061,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5700570,1/7/15 0:00,2,PASS,ALOHA GRILL,11805 WESTHEIMER,77077,Restaurant - Full Service,CHINESE,6,HIGH
5700686,1/7/15 0:00,1,PASS,TAQUERIA LATIGO,615 E WITCHER LN,77076-4814,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5701182,1/11/15 0:00,1,PASS,NINFA'S,5015 WESTHEIMER STE 1280,77056,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5701464,1/13/15 0:00,1,PASS,SIMO'S DINER,5004 N SHEPHERD,77018,Restaurant - Full Service,,0,HIGH
5702325,1/20/15 0:00,5,FAIL,POBLANO'S  MEXICAN  GRILL #2,1000 MAIN ST STE T-33,77002,Restaurant - Full Service,MEXICAN / HISPANIC,8,HIGH
5702434,1/21/15 0:00,1,,HARVEST ORGANIC GRILL,11681 WESTHEIMER RD,77077,Restaurant - Full Service,,4,HIGH
5702495,1/21/15 0:00,1,PASS,CHINA STAR CHINESE BUFFET,4414 NORTH FWY,77022,Restaurant - Full Service,CHINESE,8,HIGH
5703214,1/27/15 0:00,1,PASS,HOUSE OF CHICKEN,10950 BISSONNET STE 160 B,77099,Restaurant - Full Service,,5,HIGH
5721854,1/30/15 0:00,3,FAIL,CAFE CHINO,3285 SOUTHWEST FWY,77027,Restaurant - Full Service,CHINESE,7,HIGH
5701205,1/12/15 0:00,3,FAIL,CRACKER BARREL # 679,24400 EASTEX FWY,77339,Restaurant - Full Service,LOCAL / CONTINENTAL,6,HIGH
5701726,1/14/15 0:00,1,PASS,BATANGA RESTAURANT,908 CONGRESS AVE,77002,Restaurant - Full Service,OTHER,7,HIGH
5702656,1/22/15 0:00,3,FAIL,NIT NOI CAFE,4703 RICHMOND AVE STE A,77027-6616,Restaurant - Full Service,THAI,7,HIGH
5699982,1/5/15 0:00,1,PASS,LYNDON'S PIT BAR-B-Q,5320 HOLLISTER RD,77040,Restaurant - Full Service,BARBECUE,7,HIGH
5700788,1/8/15 0:00,3,FAIL,LE DRAGON RESTAURANT,8200 WILCREST STE 2,77072,Restaurant - Full Service,,0,HIGH
5701166,1/10/15 0:00,1,PASS,BRADY'S LANDING,8505 CYPRESS,77012,Restaurant - Full Service,LOCAL / CONTINENTAL,9,HIGH
5701245,1/12/15 0:00,1,PASS,THE SPAGHETTI WESTERN,1608 SHEPHERD,77007,Restaurant - Full Service,ITALIAN,7,HIGH
5701553,1/13/15 0:00,1,PASS,TRISH BIDA,11130 BEECHNUT STE A,77072,Restaurant - Full Service,VIETNAMESE,7,MEDIUM
5702061,1/16/15 0:00,1,PASS,BAYOU CLUB OF HOUSTON,8550 MEMORIAL,77024,Restaurant - Full Service,LOCAL / CONTINENTAL,1,HIGH
5702071,1/16/15 0:00,1,PASS,RED ROBIN RESTAURANT,7620 KATY  FWY STE 465,77024,Restaurant - Full Service,"BURGERS, ETC.",7,HIGH
5702148,1/20/15 0:00,3,PASS,SABOR LATINO AT SHEPHERD,7015 N SHEPHERD,77091-2525,Restaurant - Full Service,MEXICAN / HISPANIC,0,MEDIUM
5702203,1/20/15 0:00,1,PASS,INTERNATIONAL GRILL,6121 HILLCROFT STE R,77081,Restaurant - Full Service,MIDDLE EASTERN,0,HIGH
5702459,1/21/15 0:00,1,PASS,SAL Y PIMIENTA,818 TOWN AND COUNTRY BLVD STE 105,77024,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5702528,1/20/15 0:00,1,PASS,PAPPAS  BAR-B-Q,1100 SMITH,77002,Restaurant - Full Service,BARBECUE,0,HIGH
5702928,1/21/15 0:00,2,PASS,SAINT JAMES PLACE BISTRO BY LUBY'S,2000 SAINT JAMES PLACE STE 1ST FLR,77056,Restaurant - Full Service,,0,HIGH
5702987,1/26/15 0:00,2,PASS,PAPPASITO'S,1600 LAMAR ST STE D,77010,Restaurant - Full Service,SEAFOOD,7,HIGH
5703261,1/27/15 0:00,1,PASS,PAPPAS BURGER,5815 WESTHEIMER,77057,Restaurant - Full Service,"BURGERS, ETC.",9,HIGH
5721621,1/29/15 0:00,2,PASS,SYLVIA'S ENCHILADA KITCHEN,6401 WOODWAY STE 105,77057,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5721676,1/21/15 0:00,1,PASS,LUBY'S #5 - 0084,11250 NORTHWEST  FWY,77092,Restaurant - Full Service,CAFETERIA,9,HIGH
5721755,1/29/15 0:00,1,PASS,SALATA,1440 W GRAY ST,77019,Restaurant - Full Service,SALADS,3,MEDIUM
5726559,1/26/15 0:00,1,PASS,BLAKE'S BAR-B-QUE,2916 JEANETTA,77063,Restaurant - Full Service,BARBECUE,7,HIGH
5700278,1/6/15 0:00,1,PASS,RUGGLES CAFE & BAKERY,2365 RICE STE A,77005,Restaurant - Full Service,BAR & GRILL,7,HIGH
5700310,1/6/15 0:00,1,PASS,MIDTOWN BAR & GRILL,415 W GRAY,77019,Restaurant - Full Service,GREEK,4,MEDIUM
