5702494,1/21/15 0:00,2,PASS,HOTEL SORELLA CONFERENCE & MEETING CENTER,816 TOWN & COUNTRY  BLVD STE 139,77024,Restaurant - Full Service,OTHER,6,HIGH
5700638,1/7/15 0:00,1,PASS,LA MADELEINE FRENCH BAKERY,6205 KIRBY DR,77005,Restaurant - Full Service,FRENCH,8,HIGH
5701377,1/12/15 0:00,1,PASS,CULVER'S OF KINGWOOD,331 NORTHPARK DR,77339,Restaurant - Full Service,LOCAL / CONTINENTAL,0,HIGH
5701645,1/14/15 0:00,1,PASS,CORELLI'S ITALIAN CAFE,5640 WESTHEIMER,77056,Restaurant - Full Service,ITALIAN,7,HIGH
5701776,1/15/15 0:00,1,PASS,SARA'S TAQUERIA,1302 LORRAINE ST,77009-8736,Restaurant - Full Service,MEXICAN / HISPANIC,8,HIGH
5702046,1/15/15 0:00,1,PASS,PAPPAS BAR-B-Q,4430 NORTH  FWY,77022,Restaurant - Full Service,BARBECUE,8,HIGH
5724596,1/29/15 0:00,1,PASS,GREAT KHAN MONGOLIAN GRILL,2150 S HIGHWAY 6 STE 200,77077,Restaurant - Full Service,,0,HIGH
5753481,3/10/15 0:00,1,PASS,CAFE JAPON,5900 MEMORIAL STE 102,77007,Restaurant - Full Service,JAPANESE,0,HIGH
5757658,3/26/15 0:00,1,PASS,TBK FOODS,3511 ELGIN,77004,Restaurant - Full Service,BREAKFAST,4,MEDIUM
5750734,2/20/15 0:00,2,PASS,TAQUERIA Y RESTAURANTE RAMOS #1,143 W DYNA DR,77037,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5728787,2/5/15 0:00,1,PASS,BANANA BAY,3640 HILLCROFT,77057,Restaurant - Full Service,,0,HIGH
5750162,2/17/15 0:00,1,PASS,THANH DA QUAN,13090 BELLAIRE STE A,77072,Restaurant - Full Service,,6,HIGH
5755824,3/17/15 0:00,1,PASS,BECK'S PRIME,7608 F.M. 1960 W STE B,77070,Restaurant - Full Service,"BURGERS, ETC.",7,MEDIUM
5756369,3/20/15 0:00,1,PASS,ANDY'S HOME CAFE,1115 E 11TH,77009,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5751323,2/24/15 0:00,1,PASS,NORRIS CONFERENCE CENTER,816 TOWN AND COUNTRY BLVD STE 210,77024,Restaurant - Full Service,LOCAL / CONTINENTAL,0,MEDIUM
5699991,1/5/15 0:00,1,PASS,CUE'S BURGER AND MORE,10423 S POST OAK  RD,77035,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5700235,1/6/15 0:00,1,PASS,LA TAPATIA TAQUERIA,3965 S GESSNER,77063,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5752908,3/5/15 0:00,1,PASS,VIETNAMESE MARTYRS CHURCH FAMILY LIFE CENTER,10610 KINGSPOINT  STE E,77075,Restaurant - Full Service,VIETNAMESE,7,MEDIUM
5756372,3/20/15 0:00,1,PASS,EL CEIBENO RESTAURANTE AND CATERING,12825 S POST OAK STE L,77045,Restaurant - Full Service,MEXICAN / HISPANIC,0,MEDIUM
5757247,3/25/15 0:00,1,PASS,TOSTADERIA MADEROS,9401 CLAY,77080,Restaurant - Full Service,,7,HIGH
5758046,3/30/15 0:00,3,FAIL,LOUISIANA FAMOUS FRIED CHICKEN & SEAFOOD,3602 OLD SPANISH TRAIL STE C,77021,Restaurant - Full Service,CHICKEN,8,HIGH
5701890,1/15/15 0:00,3,FAIL,TAQUERIA Y RESTAURANT LA JALISCIENSE 2,7477 N SHEPHERD DR,77091,Restaurant - Full Service,MEXICAN / HISPANIC,0,HIGH
5703244,1/27/15 0:00,2,PASS,OSTIONERIA HUETAMICH,10369 CLUB CREEK,77036,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5703260,1/27/15 0:00,1,PASS,HUNAN GARDEN,4331 KINGWOOD DR,77339,Restaurant - Full Service,,0,HIGH
5701942,1/15/15 0:00,4,FAIL,TABLE 7 BISTRO,720 FANNIN ST STE A,77002,Restaurant - Full Service,LOCAL / CONTINENTAL,5,HIGH
5721751,1/29/15 0:00,1,PASS,BROWN SUGARS BBQ,111 GREENS RD,77060,Restaurant - Full Service,BARBECUE,0,LOW
5750929,2/23/15 0:00,3,FAIL,OUTLAW DAVE'S WORLD HEADQUARTERS,6502 WASHINGTON AVE,77007,Restaurant - Full Service,BAR & GRILL,5,HIGH
5756674,3/20/15 0:00,1,PASS,PRIMA PASTA,6811 KIRBY,77030,Restaurant - Full Service,ITALIAN,9,HIGH
5757046,3/24/15 0:00,2,PASS,PASEO CATRACHO,11503 AIRLINE,77037,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5757643,3/26/15 0:00,1,PASS,TOP OF FLIGHT,9819 S KIRKWOOD,77099,Restaurant - Full Service,,5,HIGH
5702848,1/23/15 0:00,2,PASS,ZOE'S KITCHEN,12850 MEMORIAL DR STE 1120,77024,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5751131,2/24/15 0:00,1,PASS,HOOTERS,12914 NORTHWEST,77040,Restaurant - Full Service,CHICKEN,5,HIGH
5703389,1/27/15 0:00,1,,HOUSTON COUNTRY CLUB KITCHEN,1 POTOMAC,77057,Restaurant - Full Service,,0,HIGH
